,BNBUSDT,APEUSDT,Spread,Zscore,HedgeRatio
0,283.18,2.946,14.68155999999999,,91.14
1,282.97,2.935,15.474100000000021,,91.14
2,279.88,2.876,17.761360000000025,,91.14
3,279.45,2.826,21.888359999999977,,91.14
4,280.2,2.862,19.35731999999996,,91.14
5,281.53,2.908,16.494879999999966,,91.14
6,282.39,2.869,20.909339999999986,,91.14
7,280.0,2.921,13.780059999999992,,91.14
8,278.79,2.918,12.84348,,91.14
9,281.3,2.942,13.166119999999978,,91.14
10,280.8,2.935,13.304100000000005,,91.14
11,280.2,2.93,13.159799999999962,,91.14
12,279.48,2.911,14.171460000000025,,91.14
13,281.25,2.938,13.480680000000007,,91.14
14,276.16,2.903,11.580579999999998,,91.14
15,276.48,2.879,14.087940000000003,,91.14
16,276.95,2.898,12.826279999999997,,91.14
17,277.7,2.884,14.852239999999995,,91.14
18,274.4,2.703,28.048579999999987,,91.14
19,271.34,2.696,25.626559999999955,,91.14
20,270.47,2.676,26.57936000000001,,91.14
21,272.23,2.674,28.52164000000002,,91.14
22,270.95,2.666,27.970759999999984,,91.14
23,270.06,2.641,29.359260000000006,,91.14
24,279.55,2.807,23.720020000000005,,91.14
25,282.6,2.878,20.299080000000004,,91.14
26,283.6,2.903,19.020579999999995,,91.14
27,284.75,2.896,20.80856,,91.14
28,286.32,2.914,20.738039999999955,,91.14
29,285.71,2.895,21.859699999999975,0.5336503372284019,91.14
30,286.5,2.925,19.91550000000001,0.15583799260930248,91.14
31,285.95,2.956,16.540160000000014,-0.4625260283662854,91.14
32,282.15,2.919,16.11233999999996,-0.528087529686756,91.14
33,280.2,2.895,16.349699999999984,-0.4523175580691438,91.14
34,276.0,2.844,16.797840000000008,-0.35504473256726604,91.14
35,276.31,2.889,13.00654000000003,-1.003177514145928,91.14
36,280.04,2.891,16.55426,-0.34674281034994225,91.14
37,273.99,2.839,15.243539999999996,-0.5924923057546397,91.14
38,274.4,2.899,10.18513999999999,-1.453059051676307,91.14
39,276.22,2.933,8.906380000000013,-1.6001892832386395,91.14
40,276.78,2.92,10.65119999999996,-1.267660394927423,91.14
41,279.15,2.997,6.0034200000000055,-1.896403264671386,91.14
42,279.38,2.906,14.52715999999998,-0.5507901615694955,91.14
43,280.69,2.927,13.923220000000015,-0.6498241754602607,91.14
44,281.45,2.929,14.500940000000014,-0.5810866817591747,91.14
45,281.65,2.937,13.97181999999998,-0.6651911673300117,91.14
46,281.15,2.94,13.198399999999992,-0.7927276080553949,91.14
47,279.57,2.906,14.717159999999978,-0.5474722132930728,91.14
48,277.82,2.913,12.329180000000008,-0.8762836115970567,91.14
49,281.65,2.952,12.604719999999986,-0.775150583762159,91.14
50,281.6,2.99,9.091400000000021,-1.2953093131570927,91.14
51,276.4,2.965,6.169899999999984,-1.7173620488396801,91.14
52,277.21,2.961,7.34445999999997,-1.45928537024432,91.14
53,278.0,2.946,9.501559999999984,-1.0560566768460118,91.14
54,278.3,2.967,7.887620000000027,-1.3391027688898616,91.14
55,279.0,3.012,4.486319999999978,-1.908244013238163,91.14
56,280.45,2.988,8.123679999999979,-1.0606774871647007,91.14
57,281.87,3.023,6.353779999999972,-1.3607131089780937,91.14
58,282.27,3.029,6.206939999999975,-1.3231687912247279,91.14
59,280.5,3.046,2.8875600000000077,-1.9646870907366552,91.14
60,277.56,2.951,8.605860000000007,-0.6075077770640755,91.14
61,276.9,2.969,6.305340000000001,-1.0977855740220428,91.14
62,275.7,2.947,7.110419999999976,-0.8411533679661758,91.14
63,275.87,2.937,8.191820000000007,-0.5188542811223606,91.14
64,278.02,2.928,11.162080000000003,0.32257562367114045,91.14
65,279.0,2.939,11.13954000000001,0.3370160156891469,91.14
66,278.0,2.932,10.777519999999981,0.3086746200688594,91.14
67,278.85,3.0,5.430000000000007,-1.2083437373188421,91.14
68,279.97,2.992,7.2791200000000345,-0.6139488532957843,91.14
69,281.77,3.039,4.79553999999996,-1.2832201234429519,91.14
70,282.16,3.013,7.555180000000007,-0.4444733856470325,91.14
71,280.45,3.028,4.478079999999977,-1.3085490618193807,91.14
72,278.85,3.057,0.23502000000002,-2.26686217006927,91.14
73,279.15,3.029,3.08693999999997,-1.3958611962236698,91.14
74,275.8,2.984,3.8382399999999848,-1.1296179536845194,91.14
75,275.54,2.968,5.03648000000004,-0.7402476733194824,91.14
76,273.8,2.95,4.937000000000012,-0.7189090429845715,91.14
77,274.54,2.95,5.677000000000021,-0.4387737436669016,91.14
78,273.1,2.963,3.052180000000021,-1.2779650789332755,91.14
79,273.21,2.922,6.8989199999999755,0.17228085450386932,91.14
80,272.5,2.889,9.196540000000027,1.0607486361839353,91.14
81,271.48,2.856,11.18416000000002,1.6755922964009473,91.14
82,273.02,2.9,8.713999999999999,0.744345706257298,91.14
83,273.18,2.933,5.866379999999992,-0.25365119023334026,91.14
84,272.76,2.967,2.3476200000000063,-1.4408631294479404,91.14
85,270.85,2.958,1.25788,-1.710810350923566,91.14
86,272.07,2.973,1.110779999999977,-1.6130132953884537,91.14
87,271.78,2.955,2.4612999999999374,-1.1025566759962147,91.14
88,272.2,2.972,1.3319199999999682,-1.3655343856166091,91.14
89,272.25,2.979,0.7439400000000091,-1.4853603181700537,91.14
90,272.75,2.986,0.6059599999999818,-1.414058747414889,91.14
91,273.79,2.992,1.0991200000000276,-1.1876638509342783,91.14
92,272.57,2.975,1.4284999999999854,-1.0239851380135834,91.14
93,272.09,2.962,2.1333199999999692,-0.7692462241684733,91.14
94,268.7,2.913,3.2091800000000035,-0.4100132102747513,91.14
95,271.16,2.941,3.1172600000000443,-0.3841331664365904,91.14
96,270.41,2.922,4.098920000000021,0.009014869110692974,91.14
97,270.35,2.939,2.4895400000000336,-0.5275757011777158,91.14
98,270.69,2.912,5.290320000000008,0.5005677378530247,91.14
99,266.85,2.87,5.278200000000027,0.4891476884755276,91.14
100,268.13,2.888,4.9176800000000185,0.4020028573870016,91.14
101,268.61,2.905,3.8483000000000516,0.011875608052884398,91.14
102,269.17,2.907,4.226020000000005,0.10643719477781247,91.14
103,266.3,2.868,4.910480000000007,0.3463989505791395,91.14
104,266.55,2.863,5.616179999999986,0.5914583370990114,91.14
105,267.59,2.877,5.380220000000008,0.49587129650692274,91.14
106,270.13,2.907,5.186019999999985,0.4180752495704878,91.14
107,270.63,2.91,5.412599999999998,0.5087902461065158,91.14
108,268.95,2.908,3.9148799999999824,-0.07441629348837257,91.14
109,270.89,2.899,6.675139999999999,0.9884811487617993,91.14
110,269.94,2.892,6.363119999999981,0.9578059350986134,91.14
111,268.95,2.893,5.281980000000033,0.7104489365736479,91.14
112,270.05,2.904,5.379440000000045,0.8938728990839823,91.14
113,268.2,2.877,5.990220000000022,1.2133841524201607,91.14
114,271.3,2.956,1.8901600000000371,-0.9475259968577753,91.14
115,273.19,2.944,4.873839999999973,0.5749705313034957,91.14
116,273.85,2.959,4.166740000000004,0.14373165347097006,91.14
117,274.19,2.967,3.777620000000013,-0.10049730817531274,91.14
118,273.09,2.944,4.77383999999995,0.41571980928864966,91.14
119,272.55,2.949,3.7781400000000076,-0.24894113441855578,91.14
120,273.25,2.95,4.3870000000000005,0.06353714444640424,91.14
121,274.26,2.946,5.7615599999999745,0.9966387410857008,91.14
122,272.67,2.928,5.812080000000037,1.007072742372815,91.14
123,272.55,2.933,5.236379999999997,0.4790685725751612,91.14
124,274.14,2.925,7.555499999999995,2.266123645416209,91.14
125,274.85,2.94,6.898400000000038,1.5967769881122826,91.14
126,273.6,2.965,3.3699000000000296,-1.281493967355893,91.14
127,274.15,2.978,2.735079999999982,-1.82766138921966,91.14
128,273.95,3.121,-10.497940000000028,-4.863216024392984,91.14
129,272.98,3.175,-16.38949999999994,-4.119157156774737,91.14
130,273.3,3.151,-13.882139999999993,-2.908452887225652,91.14
131,272.59,3.115,-11.311100000000067,-2.172080609950993,91.14
132,272.5,3.091,-9.21374000000003,-1.6838545574607082,91.14
133,273.32,3.149,-13.67986000000002,-2.0799856512855457,91.14
134,273.67,3.149,-13.329859999999996,-1.8353282236427773,91.14
135,275.4,3.165,-13.058100000000024,-1.645562451600235,91.14
136,275.25,3.168,-13.481519999999989,-1.559422842498626,91.14
137,274.06,3.166,-14.489239999999995,-1.543820626555114,91.14
138,274.7,3.141,-11.57074,-1.1300161676275375,91.14
139,274.62,3.096,-7.549440000000004,-0.6288505683872561,91.14
140,274.7,3.073,-5.373220000000003,-0.34204171878949546,91.14
141,274.15,3.105,-8.83970000000005,-0.6911527365898609,91.14
142,273.3,3.149,-13.699860000000001,-1.170754157300666,91.14
143,273.92,3.139,-12.168459999999982,-0.9308144846894327,91.14
144,270.45,3.151,-16.732140000000015,-1.3523560149686928,91.14
145,270.76,3.156,-16.87784000000005,-1.2761103340200688,91.14
146,271.15,3.17,-17.763800000000003,-1.2817353148064956,91.14
147,271.25,3.13,-14.018199999999979,-0.8094656382283034,91.14
148,271.85,3.101,-10.775139999999965,-0.39940923662904815,91.14
149,272.89,3.132,-12.560480000000041,-0.5556196665214822,91.14
150,271.95,3.111,-11.586540000000014,-0.3917307242749073,91.14
151,273.28,3.113,-10.438820000000021,-0.19599883376331986,91.14
152,271.15,3.105,-11.83970000000005,-0.322037244742434,91.14
153,272.71,3.146,-14.016439999999989,-0.5755632802773368,91.14
154,273.07,3.195,-18.122299999999996,-1.1908948305788483,91.14
155,273.25,3.168,-15.481519999999989,-0.7493095232369876,91.14
156,273.61,3.175,-15.759499999999946,-0.8170970894679624,91.14
157,273.3,3.179,-16.434059999999988,-1.11995034537339,91.14
158,273.91,3.226,-20.107639999999947,-2.0721229875419307,91.14
159,273.49,3.24,-21.803600000000017,-2.3172327825389534,91.14
160,273.15,3.357,-32.80698000000007,-3.7186473881185114,91.14
161,273.19,3.317,-29.121380000000045,-2.5311637143883337,91.14
162,273.05,3.34,-31.35759999999999,-2.505396855106541,91.14
163,274.53,3.275,-23.95350000000002,-1.2476265519652938,91.14
164,274.9,3.288,-24.768320000000017,-1.2787552859898919,91.14
165,274.4,3.307,-26.999979999999994,-1.486871632674234,91.14
166,275.25,3.262,-22.04867999999999,-0.7279382379574136,91.14
167,274.95,3.268,-22.895519999999976,-0.8016156776464997,91.14
168,274.31,3.289,-25.449459999999988,-1.0877629341468198,91.14
169,273.6,3.299,-27.070859999999982,-1.2362319094343954,91.14
170,273.13,3.249,-22.983859999999993,-0.6069408911157228,91.14
171,273.79,3.273,-24.51121999999998,-0.7827873647646331,91.14
172,273.16,3.263,-24.22981999999996,-0.6886853931874706,91.14
173,269.8,3.184,-20.389760000000024,-0.04699024771925879,91.14
174,269.96,3.177,-19.59178000000003,0.0967925399277372,91.14
175,270.85,3.173,-18.337220000000002,0.30795240028784365,91.14
176,270.44,3.157,-17.28897999999998,0.4744224043985462,91.14
177,271.1,3.136,-14.715039999999988,0.8974073900836043,91.14
178,271.79,3.109,-11.56425999999999,1.4219744535188146,91.14
179,270.35,3.062,-8.720679999999959,1.8053313644439428,91.14
180,270.03,3.063,-9.131820000000062,1.6929248239166597,91.14
181,271.4,3.072,-8.582080000000019,1.7405712049451696,91.14
182,271.37,3.027,-4.510780000000011,2.178926834901318,91.14
183,263.61,2.971,-7.166940000000011,1.6942997335176535,91.14
184,265.81,3.034,-10.708759999999984,1.147866362076282,91.14
185,264.45,3.038,-12.43331999999998,0.8945468852077578,91.14
186,264.75,3.04,-12.315600000000018,0.8855834986781663,91.14
187,262.64,2.988,-9.686320000000023,1.1736038386058103,91.14
188,258.39,2.943,-9.835020000000043,1.0874801240036431,91.14
189,259.27,2.95,-9.593000000000018,1.048852406528125,91.14
190,261.55,2.967,-8.862379999999973,1.0842274398739447,91.14
191,261.8,3.07,-17.999799999999993,-0.1444470615738344,91.14
192,261.22,3.047,-16.48357999999996,-0.008070223274883253,91.14
193,260.0,3.033,-16.42761999999999,-0.03695727036777866,91.14
194,259.52,3.029,-16.543060000000025,-0.09715453007468429,91.14
195,259.19,3.063,-19.971820000000037,-0.6827712914098372,91.14
196,259.55,3.052,-18.609280000000012,-0.4917635711219465,91.14
197,258.61,3.01,-15.72139999999996,-0.067171265758692,91.14
198,260.09,3.001,-13.421140000000037,0.25937778285097746,91.14
199,261.8,3.024,-13.807360000000017,0.12583820302380247,91.14
